DLL,Version,Arch,Section,Key,Symbol,Nosymbol,Kind,Status
10.0.10240.16384_x64.dll,10.0.10240.16384,x64,10.0.10240.16384,SingleUserCode.x64,,nop_3,mismatch,DIFF
10.0.10240.16384_x64.dll,10.0.10240.16384,x64,10.0.10240.16384,SingleUserOffset.x64,,18F93,mismatch,DIFF
10.0.10240.16384_x64.dll,10.0.10240.16384,x64,10.0.10240.16384,SingleUserPatch.x64,0,1,mismatch,DIFF
10.0.10240.20708_x64.dll,10.0.10240.20708,x64,10.0.10240.20708,SingleUserCode.x64,,nop_3,mismatch,DIFF
10.0.10240.20708_x64.dll,10.0.10240.20708,x64,10.0.10240.20708,SingleUserOffset.x64,,18293,mismatch,DIFF
10.0.10240.20708_x64.dll,10.0.10240.20708,x64,10.0.10240.20708,SingleUserPatch.x64,0,1,mismatch,DIFF
10.0.10586.589_x86.dll,10.0.10586.589,x86,,,,,,OK
10.0.14393.0_x64.dll,10.0.14393.0,x64,10.0.14393.0,SingleUserCode.x64,,nop_3,mismatch,DIFF
10.0.14393.0_x64.dll,10.0.14393.0,x64,10.0.14393.0,SingleUserOffset.x64,,299C3,mismatch,DIFF
10.0.14393.0_x64.dll,10.0.14393.0,x64,10.0.14393.0,SingleUserPatch.x64,0,1,mismatch,DIFF
10.0.14393.1737_x64.dll,10.0.14393.1737,x64,10.0.14393.1737,SingleUserCode.x64,,nop_3,mismatch,DIFF
10.0.14393.1737_x64.dll,10.0.14393.1737,x64,10.0.14393.1737,SingleUserOffset.x64,,299C3,mismatch,DIFF
10.0.14393.1737_x64.dll,10.0.14393.1737,x64,10.0.14393.1737,SingleUserPatch.x64,0,1,mismatch,DIFF
10.0.17063.1000_x64.dll,10.0.17063.1000,x64,,,,,,OK
10.0.17134.1_x64.dll,10.0.17134.1,x64,,,,,,OK
10.0.17134.1_x86.dll,10.0.17134.1,x86,,,,,,OK
10.0.17763.1971_x86.dll,10.0.17763.1971,x86,,,,,,OK
10.0.17763.1_x64.dll,10.0.17763.1,x64,,,,,,OK
10.0.17763.4720_x64.dll,10.0.17763.4720,x64,,,,,,OK
10.0.17763.771_x64.dll,10.0.17763.771,x64,,,,,,OK
10.0.18362.267_x64.dll,10.0.18362.267,x64,,,,,,OK
10.0.18362.53_x64.dll,10.0.18362.53,x64,,,,,,OK
10.0.18362.836_x64.dll,10.0.18362.836,x64,,,,,,OK
10.0.19041.1202_x64.dll,10.0.19041.1202,x64,,,,,,OK
10.0.19041.2913_x86.dll,10.0.19041.2913,x86,,,,,,OK
10.0.19041.3636_x64.dll,10.0.19041.3636,x64,,,,,,OK
10.0.19041.4239_x64.dll,10.0.19041.4239,x64,,,,,,OK
10.0.19041.4239_x86.dll,10.0.19041.4239,x86,,,,,,OK
10.0.19041.4355_x64.dll,10.0.19041.4355,x64,,,,,,OK
10.0.19041.4355_x86.dll,10.0.19041.4355,x86,,,,,,OK
10.0.19041.6456_x86.dll,10.0.19041.6456,x86,,,,,,OK
10.0.19041.746_x64.dll,10.0.19041.746,x64,,,,,,OK
10.0.19041.84_x86.dll,10.0.19041.84,x86,,,,,,OK
10.0.20348.3451_x64.dll,10.0.20348.3451,x64,,,,,,OK
10.0.20348.4294_x64.dll,10.0.20348.4294,x64,,,,,,OK
10.0.20348.4767_x64.dll,10.0.20348.4767,x64,,,,,,OK
10.0.20348.75_x64.dll,10.0.20348.75,x64,,,,,,OK
10.0.22000.1_x64.dll,10.0.22000.1,x64,,,,,,OK
10.0.22000.464_x64.dll,10.0.22000.464,x64,,,,,,OK
10.0.22621.3374_x64.dll,10.0.22621.3374,x64,,,,,,OK
10.0.22621.3447_x64.dll,10.0.22621.3447,x64,,,,,,OK
10.0.22621.3527_x64.dll,10.0.22621.3527,x64,,,,,,OK
10.0.22621.608_x64.dll,10.0.22621.608,x64,,,,,,OK
10.0.26100.1_x64.dll,10.0.26100.1,x64,,,,,,OK
10.0.26100.32230_x64.dll,10.0.26100.32230,x64,,,,,,OK
10.0.26100.32684_x64.dll,10.0.26100.32684,x64,,,,,,OK
10.0.26100.3323_x64.dll,10.0.26100.3323,x64,,,,,,OK
10.0.26100.3624_x64.dll,10.0.26100.3624,x64,,,,,,OK
10.0.26100.3912_x64.dll,10.0.26100.3912,x64,,,,,,OK
10.0.26100.4202_x64.dll,10.0.26100.4202,x64,,,,,,OK
10.0.26100.4484_x64.dll,10.0.26100.4484,x64,,,,,,OK
10.0.26100.4768_x64.dll,10.0.26100.4768,x64,,,,,,OK
10.0.26100.5074_x64.dll,10.0.26100.5074,x64,,,,,,OK
10.0.26100.6899_x64.dll,10.0.26100.6899,x64,,,,,,OK
10.0.26100.7019_x64.dll,10.0.26100.7019,x64,,,,,,OK
10.0.26100.7309_x64.dll,10.0.26100.7309,x64,,,,,,OK
10.0.26100.7705_x64.dll,10.0.26100.7705,x64,,,,,,OK
10.0.26100.7824_x64.dll,10.0.26100.7824,x64,,,,,,OK
10.0.26100.8115_x64.dll,10.0.26100.8115,x64,,,,,,OK
10.0.26100.8328_x64.dll,10.0.26100.8328,x64,,,,,,OK
10.0.26100.8376_x64.dll,10.0.26100.8376,x64,10.0.26100.8376-SLInit,bInitialized.x64,12B0A8,12B0BC,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,DefPolicyCode.x64,,CDefPolicy_Query_r9d_rdi_jmp,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,DefPolicyOffset.x64,,9C50D,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,DefPolicyPatch.x64,0,1,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,LocalOnlyCode.x64,,jmpshort,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,LocalOnlyOffset.x64,,920C1,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,LocalOnlyPatch.x64,0,1,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,SLInitFunc.x64,,New_CSLQuery_Initialize,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,SLInitHook.x64,0,1,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,SLInitOffset.x64,,B3438,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,SingleUserCode.x64,,mov_eax_1_nop_2,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,SingleUserOffset.x64,,9F36B,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514,SingleUserPatch.x64,0,1,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,bAppServerAllowed.x64,,126FD8,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,bFUSEnabled.x64,,126FF4,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,bInitialized.x64,,126FC8,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,bMultimonAllowed.x64,,126FE8,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,bRemoteConnAllowed.x64,,126FE4,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,bServerSku.x64,,126FCC,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,lMaxUserSessions.x64,,126FD0,mismatch,DIFF
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,10.0.26100.8514-SLInit,ulMaxDebugSessions.x64,,126FF0,mismatch,DIFF
